"","x"
"fin_0355-2047_1905-02-22_44-00001_751720.txt.lemmatized",12
"fin_0355-2047_1905-02-22_44-00002_751720.txt.lemmatized",18
"fin_0355-2047_1905-02-22_44-00003_751720.txt.lemmatized",5
"fin_0355-2047_1905-02-22_44-00004_751720.txt.lemmatized",13
"fin_0355-2047_1905-02-22_44-00005_751720.txt.lemmatized",19
"fin_0355-2047_1905-02-22_44-00006_751720.txt.lemmatized",4
"fin_0355-2047_1905-02-22_44-00007_751720.txt.lemmatized",16
"fin_0355-2047_1905-02-22_44-00008_751720.txt.lemmatized",15
"fin_0355-2047_1905-02-23_45-00001_751721.txt.lemmatized",12
"fin_0355-2047_1905-02-23_45-00002_751721.txt.lemmatized",18
"fin_0355-2047_1905-02-23_45-00003_751721.txt.lemmatized",20
"fin_0355-2047_1905-02-23_45-00004_751721.txt.lemmatized",13
"fin_0355-2047_1905-02-23_45-00005_751721.txt.lemmatized",11
"fin_0355-2047_1905-02-23_45-00006_751721.txt.lemmatized",9
"fin_0355-2047_1905-02-23_45-00007_751721.txt.lemmatized",16
"fin_0355-2047_1905-02-23_45-00008_751721.txt.lemmatized",15
"fin_0355-2047_1905-02-24_46-00001_751722.txt.lemmatized",12
"fin_0355-2047_1905-02-24_46-00002_751722.txt.lemmatized",18
"fin_0355-2047_1905-02-24_46-00003_751722.txt.lemmatized",11
"fin_0355-2047_1905-02-24_46-00004_751722.txt.lemmatized",13
"fin_0355-2047_1905-02-24_46-00005_751722.txt.lemmatized",17
"fin_0355-2047_1905-02-24_46-00006_751722.txt.lemmatized",4
"fin_0355-2047_1905-02-24_46-00007_751722.txt.lemmatized",13
"fin_0355-2047_1905-02-24_46-00008_751722.txt.lemmatized",15
"fin_0355-2047_1905-02-25_47-00001_751723.txt.lemmatized",12
"fin_0355-2047_1905-02-25_47-00002_751723.txt.lemmatized",18
"fin_0355-2047_1905-02-25_47-00003_751723.txt.lemmatized",20
"fin_0355-2047_1905-02-25_47-00004_751723.txt.lemmatized",13
"fin_0355-2047_1905-02-25_47-00005_751723.txt.lemmatized",13
"fin_0355-2047_1905-02-25_47-00006_751723.txt.lemmatized",4
"fin_0355-2047_1905-02-25_47-00007_751723.txt.lemmatized",16
"fin_0355-2047_1905-02-25_47-00008_751723.txt.lemmatized",3
"fin_0355-2047_1905-02-26_48-00001_751724.txt.lemmatized",12
"fin_0355-2047_1905-02-26_48-00002_751724.txt.lemmatized",2
"fin_0355-2047_1905-02-26_48-00003_751724.txt.lemmatized",18
"fin_0355-2047_1905-02-26_48-00004_751724.txt.lemmatized",13
